Date,CDD
07-06-2024,6.6
06-06-2024,6.4
05-06-2024,6.2
04-06-2024,5.9
03-06-2024,5.5
02-06-2024,5.2
01-06-2024,4.6
31-05-2024,3.5
30-05-2024,3.1
29-05-2024,3.4
28-05-2024,4.4
27-05-2024,5.7
26-05-2024,5.8
25-05-2024,4.7
24-05-2024,5.3
23-05-2024,5.2
22-05-2024,6
21-05-2024,6.4
20-05-2024,5.2
19-05-2024,4.9
18-05-2024,4.4
17-05-2024,3
16-05-2024,2.5
15-05-2024,2.5
14-05-2024,2.2
13-05-2024,2.4
12-05-2024,1.9
11-05-2024,1.5
10-05-2024,1.9
09-05-2024,2.4
08-05-2024,4.5
07-05-2024,3.5
06-05-2024,2.4
05-05-2024,1.9
04-05-2024,2.2
03-05-2024,2.4
02-05-2024,3.3
01-05-2024,2.8
30-04-2024,2.5
29-04-2024,2.9
28-04-2024,2.4
27-04-2024,2.3
26-04-2024,1.2
25-04-2024,1.1
24-04-2024,1
23-04-2024,0.6
22-04-2024,0.6
21-04-2024,0.5
20-04-2024,1
19-04-2024,1.4
18-04-2024,1.9
17-04-2024,2.1
16-04-2024,2.3
15-04-2024,2.5
14-04-2024,1.9
13-04-2024,0.7
12-04-2024,0.5
11-04-2024,0.6
10-04-2024,0.5
09-04-2024,0.6
08-04-2024,0.5
07-04-2024,0.5
06-04-2024,0.4
05-04-2024,0.4
04-04-2024,0.2
03-04-2024,0.2
02-04-2024,0.9
01-04-2024,1.3
31-03-2024,0.8
30-03-2024,0.4
29-03-2024,0.2
28-03-2024,0.1
27-03-2024,0.1
26-03-2024,0.1
25-03-2024,0.2
24-03-2024,0.1
23-03-2024,0.1
22-03-2024,0.2
21-03-2024,0.1
20-03-2024,0
19-03-2024,0
18-03-2024,0.1
17-03-2024,0.2
16-03-2024,0.4
15-03-2024,0.5
14-03-2024,0.9
13-03-2024,0.6
12-03-2024,0.1
11-03-2024,0
10-03-2024,0
09-03-2024,0.1
08-03-2024,0.3
07-03-2024,0.3
06-03-2024,0.3
05-03-2024,0.4
04-03-2024,0.7
03-03-2024,0.4
02-03-2024,0.1
01-03-2024,0
29-02-2024,0
28-02-2024,0.1
27-02-2024,0.7
26-02-2024,0.5
25-02-2024,0.2
24-02-2024,0
23-02-2024,0.1
22-02-2024,0.3
21-02-2024,0.2
20-02-2024,0
19-02-2024,0
18-02-2024,0
17-02-2024,0
16-02-2024,0
15-02-2024,0
14-02-2024,0
13-02-2024,0
12-02-2024,0.1
11-02-2024,0.1
10-02-2024,0.2
09-02-2024,0.2
08-02-2024,0.1
07-02-2024,0
06-02-2024,0
05-02-2024,0
04-02-2024,0
03-02-2024,0
02-02-2024,0
01-02-2024,0
31-01-2024,0
30-01-2024,0
29-01-2024,0
28-01-2024,0
27-01-2024,0.1
26-01-2024,0.2
25-01-2024,0.2
24-01-2024,0.1
23-01-2024,0
22-01-2024,0
21-01-2024,0
20-01-2024,0
19-01-2024,0
18-01-2024,0
17-01-2024,0
16-01-2024,0
15-01-2024,0
14-01-2024,0
13-01-2024,0
12-01-2024,0
11-01-2024,0
10-01-2024,0
09-01-2024,0
08-01-2024,0
07-01-2024,0
06-01-2024,0
05-01-2024,0
04-01-2024,0
03-01-2024,0
02-01-2024,0
01-01-2024,0
31-12-2023,0
30-12-2023,0
29-12-2023,0
28-12-2023,0
27-12-2023,0
26-12-2023,0
25-12-2023,0
24-12-2023,0
23-12-2023,0.1
22-12-2023,0.1
21-12-2023,0
20-12-2023,0
19-12-2023,0
18-12-2023,0
17-12-2023,0
16-12-2023,0
15-12-2023,0
14-12-2023,0
13-12-2023,0
12-12-2023,0
11-12-2023,0
10-12-2023,0
09-12-2023,0.2
08-12-2023,0.2
07-12-2023,0
06-12-2023,0
05-12-2023,0
04-12-2023,0
03-12-2023,0.1
02-12-2023,0.1
01-12-2023,0.1
30-11-2023,0.1
29-11-2023,0
28-11-2023,0
27-11-2023,0
26-11-2023,0
25-11-2023,0
24-11-2023,0
23-11-2023,0
22-11-2023,0
21-11-2023,0.1
20-11-2023,0.3
19-11-2023,0.1
18-11-2023,0.1
17-11-2023,0.2
16-11-2023,0.1
15-11-2023,0.1
14-11-2023,0.1
13-11-2023,0.1
12-11-2023,0.1
11-11-2023,0.1
10-11-2023,0.1
09-11-2023,0.5
08-11-2023,1.1
07-11-2023,0.9
06-11-2023,0.7
05-11-2023,0.3
04-11-2023,0.2
03-11-2023,0.2
02-11-2023,0.1
01-11-2023,0.1
31-10-2023,0.1
30-10-2023,0.3
29-10-2023,0.8
28-10-2023,1.8
27-10-2023,2
26-10-2023,1.9
25-10-2023,1.5
24-10-2023,1.7
23-10-2023,1.3
22-10-2023,1.3
21-10-2023,1.5
20-10-2023,1.9
19-10-2023,1.5
18-10-2023,0.9
17-10-2023,0.5
16-10-2023,0.5
15-10-2023,0.5
14-10-2023,0.6
13-10-2023,1
12-10-2023,0.9
11-10-2023,0.9
10-10-2023,1
09-10-2023,1.1
08-10-2023,1.2
07-10-2023,1.8
06-10-2023,3.3
05-10-2023,3.7
04-10-2023,5.7
03-10-2023,5
02-10-2023,5
01-10-2023,4.8
30-09-2023,4.6
29-09-2023,4
28-09-2023,3.3
27-09-2023,3.4
26-09-2023,3.9
25-09-2023,4
24-09-2023,3.8
23-09-2023,4.3
22-09-2023,4.3
21-09-2023,4.4
20-09-2023,4.3
19-09-2023,3.3
18-09-2023,3
17-09-2023,3.1
16-09-2023,3.5
15-09-2023,3.5
14-09-2023,4
13-09-2023,4.6
12-09-2023,5.4
11-09-2023,6.1
10-09-2023,6.7
09-09-2023,7.3
08-09-2023,8
07-09-2023,9.2
06-09-2023,10.7
05-09-2023,12.2
04-09-2023,11.7
03-09-2023,10.7
02-09-2023,7.6
01-09-2023,5.8
31-08-2023,6
30-08-2023,7.5
29-08-2023,8.5
28-08-2023,7.7
27-08-2023,8.4
26-08-2023,10.4
25-08-2023,11.9
24-08-2023,12.4
23-08-2023,11.6
22-08-2023,10.6
21-08-2023,11.7
20-08-2023,10.7
19-08-2023,8.4
18-08-2023,8
17-08-2023,9.4
16-08-2023,9.4
15-08-2023,9.2
14-08-2023,10.1
13-08-2023,10.8
12-08-2023,11.2
11-08-2023,10.4
10-08-2023,9.4
09-08-2023,9.5
08-08-2023,9.5
07-08-2023,9.8
06-08-2023,10.2
05-08-2023,10.5
04-08-2023,10.2
03-08-2023,9.8
02-08-2023,9.1
01-08-2023,9.5
31-07-2023,9.3
30-07-2023,9.9
29-07-2023,12.1
28-07-2023,14.2
27-07-2023,14.3
26-07-2023,13.2
25-07-2023,11.7
24-07-2023,11
23-07-2023,10.3
22-07-2023,9.7
21-07-2023,9.8
20-07-2023,11.5
19-07-2023,10.8
18-07-2023,10.7
17-07-2023,11.3
16-07-2023,11.1
15-07-2023,11.6
14-07-2023,11.9
13-07-2023,11.6
12-07-2023,10.8
11-07-2023,10.2
10-07-2023,8.8
09-07-2023,7.9
08-07-2023,8.5
07-07-2023,8.9
06-07-2023,10.1
05-07-2023,11.4
04-07-2023,11.1
03-07-2023,11.3
02-07-2023,10.9
01-07-2023,10.6
30-06-2023,10.4
29-06-2023,9.4
28-06-2023,7.5
27-06-2023,7
26-06-2023,7.8
25-06-2023,9
24-06-2023,8.4
23-06-2023,6.3
22-06-2023,5.4
21-06-2023,6.3
20-06-2023,7.5
19-06-2023,6.9
18-06-2023,5.8
17-06-2023,5.2
16-06-2023,4.8
15-06-2023,5
14-06-2023,4.4
13-06-2023,3.3
12-06-2023,3.4
11-06-2023,4.2
10-06-2023,4.2
09-06-2023,3.1
08-06-2023,3.1
07-06-2023,3.5
06-06-2023,4.4
05-06-2023,4.2
04-06-2023,4.9
03-06-2023,6.5
02-06-2023,7.7
01-06-2023,6.4
31-05-2023,5.7
30-05-2023,4.8
29-05-2023,3.9
28-05-2023,2.5
27-05-2023,1.9
26-05-2023,2
25-05-2023,2.2
24-05-2023,2.7
23-05-2023,3.1
22-05-2023,2.5
21-05-2023,1.9
20-05-2023,2.1
19-05-2023,2.5
18-05-2023,2.6
17-05-2023,2.6
16-05-2023,3
15-05-2023,3
14-05-2023,3.6
