Date,HDD
07-06-2024,0.2
06-06-2024,0.2
05-06-2024,0.3
04-06-2024,0.3
03-06-2024,0.4
02-06-2024,0.6
01-06-2024,0.7
31-05-2024,1.5
30-05-2024,2.3
29-05-2024,1.9
28-05-2024,1.1
27-05-2024,1.3
26-05-2024,1.6
25-05-2024,2.1
24-05-2024,1.8
23-05-2024,1.5
22-05-2024,1.7
21-05-2024,2
20-05-2024,2.1
19-05-2024,1.8
18-05-2024,1.9
17-05-2024,1.6
16-05-2024,2
15-05-2024,2.8
14-05-2024,2.8
13-05-2024,3
12-05-2024,4.7
11-05-2024,5.8
10-05-2024,6.3
09-05-2024,4.7
08-05-2024,3
07-05-2024,3.5
06-05-2024,4.5
05-05-2024,7.1
04-05-2024,5.9
03-05-2024,4
02-05-2024,3.7
01-05-2024,3.6
30-04-2024,4.8
29-04-2024,4.2
28-04-2024,4.5
27-04-2024,6.7
26-04-2024,9.9
25-04-2024,12
24-04-2024,10
23-04-2024,8.7
22-04-2024,11.2
21-04-2024,14.2
20-04-2024,12.3
19-04-2024,10.7
18-04-2024,9
17-04-2024,6.1
16-04-2024,5.4
15-04-2024,5.3
14-04-2024,5.8
13-04-2024,8.9
12-04-2024,8.2
11-04-2024,7.7
10-04-2024,7.3
09-04-2024,7.3
08-04-2024,9.9
07-04-2024,14.3
06-04-2024,17
05-04-2024,18.4
04-04-2024,18.3
03-04-2024,16.1
02-04-2024,13.4
01-04-2024,12.7
31-03-2024,12.9
30-03-2024,13.4
29-03-2024,15.7
28-03-2024,18.1
27-03-2024,19.9
26-03-2024,18.3
25-03-2024,17
24-03-2024,21.8
23-03-2024,21.7
22-03-2024,20
21-03-2024,21
20-03-2024,18.2
19-03-2024,19
18-03-2024,21.9
17-03-2024,17.1
16-03-2024,14.1
15-03-2024,12.5
14-03-2024,10.5
13-03-2024,10.5
12-03-2024,11.3
11-03-2024,17
10-03-2024,20.7
09-03-2024,19.4
08-03-2024,17.1
07-03-2024,16.4
06-03-2024,16
05-03-2024,14.9
04-03-2024,12.4
03-03-2024,12.3
02-03-2024,16.6
01-03-2024,21.4
29-02-2024,25.4
28-02-2024,20.5
27-02-2024,12.6
26-02-2024,13.8
25-02-2024,20.2
24-02-2024,23.6
23-02-2024,18.5
22-02-2024,17.3
21-02-2024,18.1
20-02-2024,21.8
19-02-2024,24.8
18-02-2024,28.1
17-02-2024,31.9
16-02-2024,26.5
15-02-2024,23.6
14-02-2024,24
13-02-2024,24.5
12-02-2024,23.4
11-02-2024,22.5
10-02-2024,19.3
09-02-2024,17
08-02-2024,18.3
07-02-2024,22.1
06-02-2024,23.8
05-02-2024,23.3
04-02-2024,23.1
03-02-2024,23
02-02-2024,20.9
01-02-2024,19.6
31-01-2024,21.7
30-01-2024,22.2
29-01-2024,22.4
28-01-2024,21.8
27-01-2024,20.2
26-01-2024,18.6
25-01-2024,17.8
24-01-2024,20.5
23-01-2024,23.7
22-01-2024,30.2
21-01-2024,37
20-01-2024,41.3
19-01-2024,37.4
18-01-2024,33.8
17-01-2024,40.2
16-01-2024,43.6
15-01-2024,43.8
14-01-2024,41.1
13-01-2024,33.1
12-01-2024,28.6
11-01-2024,26.4
10-01-2024,25.6
09-01-2024,25.7
08-01-2024,27.5
07-01-2024,28
06-01-2024,28
05-01-2024,29.3
04-01-2024,28.6
03-01-2024,27.3
02-01-2024,27.8
01-01-2024,27.1
31-12-2023,25.3
30-12-2023,24.4
29-12-2023,23.2
28-12-2023,21.7
27-12-2023,20.6
26-12-2023,20.4
25-12-2023,18.6
24-12-2023,17.9
23-12-2023,19.6
22-12-2023,21.4
21-12-2023,22.1
20-12-2023,23.3
19-12-2023,26.3
18-12-2023,22.7
17-12-2023,19.1
16-12-2023,19
15-12-2023,19.3
14-12-2023,23.2
13-12-2023,24.3
12-12-2023,25.1
11-12-2023,25.2
10-12-2023,21.8
09-12-2023,17.9
08-12-2023,17.9
07-12-2023,21.2
06-12-2023,23.1
05-12-2023,21.5
04-12-2023,20.4
03-12-2023,19.1
02-12-2023,18.8
01-12-2023,20.8
30-11-2023,21.1
29-11-2023,26.5
28-11-2023,29.2
27-11-2023,26.8
26-11-2023,25.5
25-11-2023,26.4
24-11-2023,24.6
23-11-2023,20.3
22-11-2023,18.3
21-11-2023,19.2
20-11-2023,18.5
19-11-2023,17
18-11-2023,15.9
17-11-2023,12.6
16-11-2023,11
15-11-2023,13.7
14-11-2023,14.8
13-11-2023,15.6
12-11-2023,16.1
11-11-2023,17.7
10-11-2023,16.6
09-11-2023,13.3
08-11-2023,12.4
07-11-2023,9.2
06-11-2023,9.3
05-11-2023,10.9
04-11-2023,11.9
03-11-2023,13.6
02-11-2023,18.4
01-11-2023,21.8
31-10-2023,21.1
30-10-2023,18.1
29-10-2023,14.6
28-10-2023,10.6
27-10-2023,6.4
26-10-2023,4.1
25-10-2023,4.3
24-10-2023,5.9
23-10-2023,9
22-10-2023,9.8
21-10-2023,7.3
20-10-2023,5.8
19-10-2023,6.3
18-10-2023,7.3
17-10-2023,9.4
16-10-2023,10.6
15-10-2023,10.2
14-10-2023,9.2
13-10-2023,7.1
12-10-2023,6.3
11-10-2023,7.1
10-10-2023,8
09-10-2023,9.1
08-10-2023,9.1
07-10-2023,7.8
06-10-2023,4.5
05-10-2023,1.4
04-10-2023,1.2
03-10-2023,1.2
02-10-2023,1.5
01-10-2023,1.5
30-09-2023,1.7
29-09-2023,2.1
28-09-2023,2.5
27-09-2023,2.3
26-09-2023,2.3
25-09-2023,1.8
24-09-2023,2.1
23-09-2023,2.7
22-09-2023,1.5
21-09-2023,1.4
20-09-2023,1.2
19-09-2023,1.7
18-09-2023,1.7
17-09-2023,1.5
16-09-2023,1.4
15-09-2023,1.9
14-09-2023,1.8
13-09-2023,1.6
12-09-2023,1.1
11-09-2023,0.9
10-09-2023,0.5
09-09-2023,0.3
08-09-2023,0.5
07-09-2023,0.5
06-09-2023,0.3
05-09-2023,0.5
04-09-2023,0.4
03-09-2023,0.2
02-09-2023,0.2
01-09-2023,0.5
31-08-2023,0.5
30-08-2023,0.3
29-08-2023,0.2
28-08-2023,0.2
27-08-2023,0.2
26-08-2023,0.2
25-08-2023,0.2
24-08-2023,0.1
23-08-2023,0.1
22-08-2023,0.1
21-08-2023,0.1
20-08-2023,0.1
19-08-2023,0.1
18-08-2023,0.1
17-08-2023,0
16-08-2023,0
15-08-2023,0
14-08-2023,0.2
13-08-2023,0.2
12-08-2023,0
11-08-2023,0
10-08-2023,0
09-08-2023,0.1
08-08-2023,0.1
07-08-2023,0.1
06-08-2023,0.2
05-08-2023,0
04-08-2023,0
03-08-2023,0.1
02-08-2023,0.1
01-08-2023,0.1
31-07-2023,0.1
30-07-2023,0
29-07-2023,0
28-07-2023,0
27-07-2023,0
26-07-2023,0
25-07-2023,0
24-07-2023,0
23-07-2023,0
22-07-2023,0
21-07-2023,0
20-07-2023,0.1
19-07-2023,0
18-07-2023,0
17-07-2023,0.1
16-07-2023,0
15-07-2023,0
14-07-2023,0
13-07-2023,0
12-07-2023,0.1
11-07-2023,0.1
10-07-2023,0.1
09-07-2023,0.2
08-07-2023,0.2
07-07-2023,0.3
06-07-2023,0.2
05-07-2023,0.3
04-07-2023,0.1
03-07-2023,0
02-07-2023,0
01-07-2023,0.1
30-06-2023,0.2
29-06-2023,0.1
28-06-2023,0.2
27-06-2023,0.3
26-06-2023,0.4
25-06-2023,0.5
24-06-2023,0.6
23-06-2023,0.6
22-06-2023,1.1
21-06-2023,1.1
20-06-2023,1.2
19-06-2023,0.9
18-06-2023,0.7
17-06-2023,0.8
16-06-2023,1.3
15-06-2023,0.9
14-06-2023,1
13-06-2023,1.7
12-06-2023,2.2
11-06-2023,1.5
10-06-2023,1.1
09-06-2023,1.6
08-06-2023,2.2
07-06-2023,2
06-06-2023,1.1
05-06-2023,1.4
04-06-2023,1.8
03-06-2023,1.2
02-06-2023,0.8
01-06-2023,1
31-05-2023,1.6
30-05-2023,1.8
29-05-2023,1.2
28-05-2023,1.5
27-05-2023,2.6
26-05-2023,4
25-05-2023,5
24-05-2023,2.8
23-05-2023,2.1
22-05-2023,2
21-05-2023,2.2
20-05-2023,3.8
19-05-2023,3.6
18-05-2023,5.8
17-05-2023,5.3
16-05-2023,1.5
15-05-2023,3.4
14-05-2023,3.1
13-05-2023,1.3
12-05-2023,1.4
11-05-2023,2.4
10-05-2023,4.5
09-05-2023,4.7
08-05-2023,3.9
07-05-2023,3.4
06-05-2023,5.2
05-05-2023,7
04-05-2023,9.3
03-05-2023,11.3
02-05-2023,11.9
01-05-2023,12
30-04-2023,10.5
29-04-2023,8.3
28-04-2023,8.8
27-04-2023,9.3
26-04-2023,12.3
25-04-2023,13.6
24-04-2023,14.4
23-04-2023,14.7
22-04-2023,11.8
21-04-2023,8.2
20-04-2023,8.4
19-04-2023,11.8
18-04-2023,13.1
17-04-2023,13.3
16-04-2023,9.1
15-04-2023,5.2
14-04-2023,4.2
13-04-2023,3.8
12-04-2023,3.6
11-04-2023,5.9
10-04-2023,9.4
09-04-2023,12.6
08-04-2023,15.3
07-04-2023,15.6
06-04-2023,14
05-04-2023,11.8
04-04-2023,11.2
03-04-2023,13.9
02-04-2023,16.6
01-04-2023,13.5
31-03-2023,14.5
30-03-2023,20.4
29-03-2023,20.9
28-03-2023,19.5
27-03-2023,18.6
26-03-2023,17.5
25-03-2023,18.6
24-03-2023,17.8
23-03-2023,14.4
22-03-2023,16
21-03-2023,18.7
20-03-2023,23
19-03-2023,27.8
18-03-2023,26.5
17-03-2023,21.5
16-03-2023,18.9
15-03-2023,22.5
14-03-2023,25.7
13-03-2023,24.1
12-03-2023,23.4
11-03-2023,21.9
10-03-2023,22
09-03-2023,21.6
08-03-2023,22.6
07-03-2023,21.2
06-03-2023,18
05-03-2023,19.5
04-03-2023,21.1
03-03-2023,21.8
02-03-2023,20.6
01-03-2023,19.5
28-02-2023,20.4
27-02-2023,20.4
26-02-2023,22.7
25-02-2023,28.1
24-02-2023,29
23-02-2023,24
22-02-2023,22.6
21-02-2023,20.4
20-02-2023,17.2
19-02-2023,20.2
18-02-2023,27.1
17-02-2023,27.6
16-02-2023,22.1
15-02-2023,17.6
14-02-2023,20
13-02-2023,20.4
12-02-2023,23.4
11-02-2023,25.4
10-02-2023,22.6
09-02-2023,19.3
08-02-2023,21
07-02-2023,22.2
06-02-2023,22.7
05-02-2023,23.5
04-02-2023,33
03-02-2023,37.1
02-02-2023,32.2
01-02-2023,35.1
31-01-2023,35.9
30-01-2023,32.7
29-01-2023,29.1
28-01-2023,26.7
27-01-2023,28.6
26-01-2023,28.3
25-01-2023,26.5
24-01-2023,27.4
23-01-2023,28.6
22-01-2023,29
21-01-2023,28.4
20-01-2023,26
19-01-2023,22.5
18-01-2023,21.3
17-01-2023,21.2
16-01-2023,22.5
15-01-2023,26.1
14-01-2023,29
13-01-2023,25.5
12-01-2023,20.7
11-01-2023,21.9
10-01-2023,22.7
09-01-2023,24.6
08-01-2023,26.6
07-01-2023,25.5
06-01-2023,25.1
05-01-2023,22
04-01-2023,18.2
03-01-2023,17.7
02-01-2023,18.9
01-01-2023,18.2
31-12-2022,19.1
30-12-2022,18
29-12-2022,18.6
28-12-2022,24.3
27-12-2022,31.2
26-12-2022,35.3
25-12-2022,38.4
24-12-2022,43.9
23-12-2022,42.6
22-12-2022,34.6
21-12-2022,32.9
20-12-2022,31.6
19-12-2022,32.9
18-12-2022,33
17-12-2022,30.5
16-12-2022,27.4
15-12-2022,26.4
14-12-2022,26
13-12-2022,26.1
12-12-2022,24.8
11-12-2022,23.4
10-12-2022,23.3
09-12-2022,22.8
08-12-2022,21
07-12-2022,18.6
06-12-2022,20
05-12-2022,23
04-12-2022,25.8
03-12-2022,22
02-12-2022,22.3
01-12-2022,27.8
30-11-2022,24
29-11-2022,20.5
28-11-2022,19.9
27-11-2022,18.2
26-11-2022,18.3
25-11-2022,17.9
24-11-2022,18.1
23-11-2022,19.2
22-11-2022,21.8
21-11-2022,26
20-11-2022,30.2
19-11-2022,30
18-11-2022,29.4
17-11-2022,26.9
16-11-2022,24.6
15-11-2022,25.2
14-11-2022,25.5
13-11-2022,24.4
12-11-2022,19.7
11-11-2022,15.2
10-11-2022,10.9
09-11-2022,12.4
08-11-2022,13.1
07-11-2022,10.6
06-11-2022,7.9
05-11-2022,8
04-11-2022,8.7
03-11-2022,9.4
02-11-2022,8
01-11-2022,7.2
31-10-2022,8.3
30-10-2022,10.7
29-10-2022,11.7
28-10-2022,12.6
27-10-2022,12.7
26-10-2022,10.3
25-10-2022,7.1
24-10-2022,6.4
23-10-2022,6.2
22-10-2022,5.3
21-10-2022,8.1
20-10-2022,12.8
19-10-2022,16.3
18-10-2022,16.1
17-10-2022,12.6
16-10-2022,8.7
15-10-2022,8.6
14-10-2022,8.7
13-10-2022,8
12-10-2022,4.7
11-10-2022,4.4
10-10-2022,6.2
09-10-2022,8.7
08-10-2022,10.7
07-10-2022,7.3
06-10-2022,3.6
05-10-2022,4.8
04-10-2022,6.9
03-10-2022,6.9
02-10-2022,5.3
01-10-2022,5.3
30-09-2022,5.8
29-09-2022,5.9
28-09-2022,6.1
27-09-2022,5
26-09-2022,3.3
25-09-2022,2.3
24-09-2022,3.7
23-09-2022,6
22-09-2022,3.4
21-09-2022,1.1
20-09-2022,0.5
19-09-2022,0.4
18-09-2022,0.5
17-09-2022,1.1
16-09-2022,1.2
15-09-2022,1
14-09-2022,0.6
13-09-2022,0.8
12-09-2022,1
11-09-2022,1
10-09-2022,1
09-09-2022,0.5
08-09-2022,0.2
07-09-2022,0.1
06-09-2022,0.2
05-09-2022,0.2
04-09-2022,0.2
03-09-2022,0.1
02-09-2022,0.2
01-09-2022,0.1
31-08-2022,0
30-08-2022,0
29-08-2022,0
28-08-2022,0.1
27-08-2022,0.1
26-08-2022,0
25-08-2022,0
24-08-2022,0
23-08-2022,0
22-08-2022,0
21-08-2022,0
20-08-2022,0.1
19-08-2022,0
18-08-2022,0
17-08-2022,0
16-08-2022,0.1
15-08-2022,0
14-08-2022,0.1
13-08-2022,0.2
12-08-2022,0.1
11-08-2022,0
10-08-2022,0
09-08-2022,0
08-08-2022,0
07-08-2022,0.1
06-08-2022,0.1
05-08-2022,0.1
04-08-2022,0
03-08-2022,0
02-08-2022,0
01-08-2022,0
31-07-2022,0.1
30-07-2022,0
29-07-2022,0.1
28-07-2022,0.1
27-07-2022,0
26-07-2022,0
25-07-2022,0.1
24-07-2022,0
23-07-2022,0
22-07-2022,0
21-07-2022,0
20-07-2022,0
19-07-2022,0
18-07-2022,0
17-07-2022,0
16-07-2022,0
15-07-2022,0
14-07-2022,0
13-07-2022,0
12-07-2022,0
11-07-2022,0
10-07-2022,0
09-07-2022,0
08-07-2022,0
07-07-2022,0
06-07-2022,0.1
05-07-2022,0.1
04-07-2022,0.1
03-07-2022,0.3
02-07-2022,0.2
01-07-2022,0.1
30-06-2022,0.2
29-06-2022,0.1
28-06-2022,0.2
27-06-2022,0.2
26-06-2022,0.3
25-06-2022,0.3
24-06-2022,0.1
23-06-2022,0.2
22-06-2022,0.4
21-06-2022,0.5
20-06-2022,0.6
19-06-2022,1.3
18-06-2022,1.4
17-06-2022,0.7
16-06-2022,0.3
15-06-2022,0.5
14-06-2022,0.7
13-06-2022,0.8
12-06-2022,0.5
11-06-2022,0.3
10-06-2022,0.3
09-06-2022,0.5
08-06-2022,1
07-06-2022,0.7
06-06-2022,0.7
05-06-2022,0.8
04-06-2022,1.7
03-06-2022,1
02-06-2022,0.9
01-06-2022,1.6
31-05-2022,1.4
30-05-2022,1.6
29-05-2022,1.5
28-05-2022,1.5
27-05-2022,1.5
26-05-2022,2
25-05-2022,2.8
24-05-2022,4.6
23-05-2022,5.3
22-05-2022,4.6
21-05-2022,3.8
20-05-2022,3.2
19-05-2022,2.5
18-05-2022,3.8
17-05-2022,3
16-05-2022,1.6
15-05-2022,0.9
14-05-2022,0.9
13-05-2022,2
12-05-2022,2.7
11-05-2022,3.7
10-05-2022,4.5
09-05-2022,6
08-05-2022,8.9
07-05-2022,7.9
06-05-2022,6.7
05-05-2022,6.4
04-05-2022,8.1
03-05-2022,8.2
02-05-2022,8.2
01-05-2022,7.5
30-04-2022,7.9
29-04-2022,9.7
28-04-2022,12.8
27-04-2022,13.3
26-04-2022,11.7
25-04-2022,8.8
24-04-2022,5.5
23-04-2022,5.8
22-04-2022,8.4
21-04-2022,8.8
20-04-2022,13.4
19-04-2022,16.8
18-04-2022,17.7
17-04-2022,16.8
16-04-2022,13.2
15-04-2022,11.7
14-04-2022,11.7
13-04-2022,9.6
12-04-2022,9.5
11-04-2022,11.7
10-04-2022,14.3
09-04-2022,15.5
08-04-2022,14.9
07-04-2022,13.7
06-04-2022,11.4
05-04-2022,12.8
04-04-2022,14.7
03-04-2022,15.3
02-04-2022,16.3
01-04-2022,16.9
31-03-2022,14.6
30-03-2022,15.1
29-03-2022,20.7
28-03-2022,23.5
27-03-2022,21
26-03-2022,17.6
25-03-2022,15
24-03-2022,15.5
23-03-2022,14.5
22-03-2022,13.2
21-03-2022,12
20-03-2022,13.6
19-03-2022,13.5
18-03-2022,12.1
17-03-2022,11
16-03-2022,11.8
15-03-2022,13.8
14-03-2022,17
13-03-2022,25.7
12-03-2022,30.7
11-03-2022,26.1
10-03-2022,26.2
09-03-2022,25.2
08-03-2022,24.4
07-03-2022,19.5
06-03-2022,15.7
05-03-2022,16.9
04-03-2022,22.6
03-03-2022,20.6
02-03-2022,16.2
01-03-2022,18.3
28-02-2022,23.8
27-02-2022,25.5
26-02-2022,32.1
25-02-2022,32.4
24-02-2022,33.2
23-02-2022,28.6
22-02-2022,22.4
21-02-2022,19.9
20-02-2022,25.2
19-02-2022,30.4
18-02-2022,27.6
17-02-2022,21.7
16-02-2022,20.4
15-02-2022,28.4
14-02-2022,32.6
13-02-2022,31.5
12-02-2022,25.6
11-02-2022,20.5
10-02-2022,21.4
09-02-2022,22.4
08-02-2022,25.9
07-02-2022,29.2
06-02-2022,32.6
05-02-2022,37
04-02-2022,34.3
03-02-2022,32.4
02-02-2022,29.5
01-02-2022,26.3
31-01-2022,30.8
30-01-2022,33.8
29-01-2022,36.7
28-01-2022,33.9
27-01-2022,34.3
26-01-2022,38.7
25-01-2022,34.6
24-01-2022,32.1
23-01-2022,33
22-01-2022,34.8
21-01-2022,38.7
20-01-2022,35.3
19-01-2022,28.1
18-01-2022,27
17-01-2022,28.3
16-01-2022,33.6
15-01-2022,35.5
14-01-2022,27.3
13-01-2022,22.9
12-01-2022,25.8
11-01-2022,32.7
10-01-2022,33.3
09-01-2022,28.7
08-01-2022,31.9
07-01-2022,37
06-01-2022,34.3
05-01-2022,28.9
04-01-2022,30.6
03-01-2022,34.7
02-01-2022,30.4
01-01-2022,23.7
31-12-2021,20.5
30-12-2021,22.3
29-12-2021,24
28-12-2021,23.1
27-12-2021,22.4
26-12-2021,21
25-12-2021,18.6
24-12-2021,19.3
23-12-2021,24.5
22-12-2021,26.3
21-12-2021,27.3
20-12-2021,28.9
19-12-2021,27.9
18-12-2021,23.5
17-12-2021,20.9
16-12-2021,16.5
15-12-2021,16.2
14-12-2021,19.5
13-12-2021,21.3
12-12-2021,22.5
11-12-2021,18.3
10-12-2021,19.8
09-12-2021,23.5
08-12-2021,26.6
07-12-2021,28.2
06-12-2021,21.8
05-12-2021,19
04-12-2021,19.7
03-12-2021,17.6
02-12-2021,13.6
01-12-2021,17.8
30-11-2021,20.3
29-11-2021,21.8
28-11-2021,21.4
27-11-2021,22.7
26-11-2021,23.9
25-11-2021,21.3
24-11-2021,20.1
23-11-2021,23.3
22-11-2021,21.4
21-11-2021,17.8
20-11-2021,19.8
19-11-2021,21.8
18-11-2021,17.1
17-11-2021,14.4
16-11-2021,16.9
15-11-2021,18.6
14-11-2021,19.2
13-11-2021,18.5
12-11-2021,14.8
11-11-2021,12.3
10-11-2021,11.5
09-11-2021,11.4
08-11-2021,11.9
07-11-2021,14.2
06-11-2021,16.1
05-11-2021,17.8
04-11-2021,18.7
03-11-2021,18.6
02-11-2021,17
01-11-2021,14.9
31-10-2021,10.9
30-10-2021,10
29-10-2021,9.8
28-10-2021,9.9
27-10-2021,11
26-10-2021,11.2
25-10-2021,8.3
24-10-2021,10.2
23-10-2021,10.9
22-10-2021,9.3
21-10-2021,5.9
20-10-2021,5.1
19-10-2021,7.9
18-10-2021,9
17-10-2021,8.5
16-10-2021,6.3
15-10-2021,4.9
14-10-2021,4.2
13-10-2021,4.3
12-10-2021,4.4
11-10-2021,3.3
10-10-2021,2.6
09-10-2021,2.6
08-10-2021,2.1
07-10-2021,1.5
06-10-2021,1.5
05-10-2021,1.8
04-10-2021,1.2
03-10-2021,1.3
02-10-2021,1.9
01-10-2021,3.2
30-09-2021,2.9
29-09-2021,2.8
28-09-2021,1.6
27-09-2021,0.9
26-09-2021,1.4
25-09-2021,2.6
24-09-2021,2.2
23-09-2021,3
22-09-2021,2.4
21-09-2021,1.5
20-09-2021,1.2
19-09-2021,0.7
18-09-2021,0.7
17-09-2021,0.8
16-09-2021,0.6
