Date,Producers,Swaps,Managed Money,Other Reportable,Non-reportable,Abs total,Percent Producers,Percent Swaps,Percent Managed Money,Percent Other Reportable,Percent Non-reportable
28-05-2024,-131177,208043,16569.00,-106664,13229,475682.00,-28%,44%,3%,-22%,3%
21-05-2024,-98374,203117,-11080.00,-105552,11889,430012.00,-23%,47%,-3%,-25%,3%
14-05-2024,-76147,196725,-56029.00,-79739,15190,423830.00,-18%,46%,-13%,-19%,4%
07-05-2024,-71495,204519,-103800.00,-46433,17209,443456.00,-16%,46%,-23%,-10%,4%
30-04-2024,-87800,202811,-89013.00,-43465,17467,440556.00,-20%,46%,-20%,-10%,4%
23-04-2024,-90640,196408,-115934.00,-15941,26107,445030.00,-20%,44%,-26%,-4%,6%
16-04-2024,-89680,192934,-88547.00,-39350,24643,435154.00,-21%,44%,-20%,-9%,6%
09-04-2024,-90233,186263,-83686.00,-35044,22700,417926.00,-22%,45%,-20%,-8%,5%
02-04-2024,-94078,186437,-86097.00,-31176,24914,422702.00,-22%,44%,-20%,-7%,6%
26-03-2024,-106432,178338,-88165.00,-15430,31689,420054.00,-25%,42%,-21%,-4%,8%
19-03-2024,-111974,181885,-99209.00,-2284,31582,426934.00,-26%,43%,-23%,-1%,7%
12-03-2024,-96611,195099,-106598.00,-22150,30260,450718.00,-21%,43%,-24%,-5%,7%
05-03-2024,-79338,191533,-121448.00,-20105,29358,441782.00,-18%,43%,-27%,-5%,7%
27-02-2024,-73254,188798,-160729.00,6857,38328,467966.00,-16%,40%,-34%,1%,8%
20-02-2024,-91891,191371,-130165.00,-6392,37077,456896.00,-20%,42%,-28%,-1%,8%
13-02-2024,-117027,199713,-96737.00,-17494,31545,462516.00,-25%,43%,-21%,-4%,7%
06-02-2024,-122920,199174,-70521.00,-32662,26929,452206.00,-27%,44%,-16%,-7%,6%
30-01-2024,-134618,193009,-37933.00,-42648,22190,430398.00,-31%,45%,-9%,-10%,5%
23-01-2024,-148797,188336,-6519.00,-49989,16969,410610.00,-36%,46%,-2%,-12%,4%
16-01-2024,-128011,183013,-44055.00,-22092,11145,388316.00,-33%,47%,-11%,-6%,3%
09-01-2024,-96773,174422,-78490.00,-13157,13998,376840.00,-26%,46%,-21%,-3%,4%
02-01-2024,-80599,168524,-104991.00,-1129,18195,373438.00,-22%,45%,-28%,0%,5%
26-12-2023,-71361,155890,-121738.00,15220,21989,386198.00,-18%,40%,-32%,4%,6%
19-12-2023,-66679,154701,-124614.00,12997,23595,382586.00,-17%,40%,-33%,3%,6%
12-12-2023,-76355,165705,-122449.00,11370,21729,397608.00,-19%,42%,-31%,3%,5%
05-12-2023,-75243,162436,-104735.00,-3154,20696,366264.00,-21%,44%,-29%,-1%,6%
28-11-2023,-64762,161319,-103257.00,-17002,23702,370042.00,-18%,44%,-28%,-5%,6%
21-11-2023,-79894,163139,-70477.00,-32150,19382,365042.00,-22%,45%,-19%,-9%,5%
14-11-2023,-99306,149664,-36486.00,-33484,19612,338552.00,-29%,44%,-11%,-10%,6%
07-11-2023,-115152,155076,15361.00,-70013,14728,370330.00,-31%,42%,4%,-19%,4%
31-10-2023,-110186,161407,-22425.00,-47847,19051,360916.00,-31%,45%,-6%,-13%,5%
24-10-2023,-116185,150384,-5687.00,-51639,23127,347022.00,-33%,43%,-2%,-15%,7%
17-10-2023,-110680,144140,25626.00,-76285,17199,373930.00,-30%,39%,7%,-20%,5%
10-10-2023,-98485,160248,-41039.00,-38161,17437,355370.00,-28%,45%,-12%,-11%,5%
03-10-2023,-89955,166551,-56208.00,-37951,17563,368228.00,-24%,45%,-15%,-10%,5%
26-09-2023,-88265,163538,-32737.00,-61182,18646,364368.00,-24%,45%,-9%,-17%,5%
19-09-2023,-87110,173633,-27314.00,-84730,25521,398308.00,-22%,44%,-7%,-21%,6%
12-09-2023,-83687,174403,-32063.00,-86216,27563,403932.00,-21%,43%,-8%,-21%,7%
05-09-2023,-85915,178110,-35394.00,-80945,24144,404508.00,-21%,44%,-9%,-20%,6%
29-08-2023,-92010,172024,-18149.00,-89188,27323,398694.00,-23%,43%,-5%,-22%,7%
22-08-2023,-102142,168897,9852.00,-105035,28428,414354.00,-25%,41%,2%,-25%,7%
