Date,NG1,NG2
29-05-2024,2.592,2.835
28-05-2024,2.59,2.825
24-05-2024,2.52,2.773
23-05-2024,2.657,2.923
22-05-2024,2.842,3.052
21-05-2024,2.671,2.839
20-05-2024,2.751,2.901
17-05-2024,2.626,2.789
16-05-2024,2.495,2.687
15-05-2024,2.416,2.631
14-05-2024,2.344,2.559
13-05-2024,2.381,2.587
10-05-2024,2.252,2.484
09-05-2024,2.301,2.537
08-05-2024,2.187,2.474
07-05-2024,2.207,2.471
06-05-2024,2.195,2.463
03-05-2024,2.142,2.416
02-05-2024,2.035,2.331
01-05-2024,1.932,2.266
30-04-2024,1.991,2.319
29-04-2024,2.03,2.373
26-04-2024,1.614,1.923
25-04-2024,1.638,1.986
24-04-2024,1.653,1.979
23-04-2024,1.812,2.094
22-04-2024,1.791,2.065
19-04-2024,1.752,1.988
18-04-2024,1.757,1.986
17-04-2024,1.712,1.962
16-04-2024,1.732,1.988
15-04-2024,1.691,1.946
12-04-2024,1.77,2.029
11-04-2024,1.764,2
10-04-2024,1.885,2.074
09-04-2024,1.872,2.064
08-04-2024,1.844,2.051
05-04-2024,1.785,2.01
04-04-2024,1.774,1.997
03-04-2024,1.841,2.067
02-04-2024,1.862,2.105
01-04-2024,1.837,2.074
29-03-2024,,
28-03-2024,1.763,1.997
27-03-2024,1.718,1.953
26-03-2024,1.575,1.788
25-03-2024,1.615,1.789
22-03-2024,1.659,1.812
21-03-2024,1.683,1.831
20-03-2024,1.699,1.845
19-03-2024,1.744,1.876
18-03-2024,1.703,1.833
15-03-2024,1.655,1.789
14-03-2024,1.741,1.862
13-03-2024,1.658,1.784
12-03-2024,1.714,1.823
11-03-2024,1.759,1.862
08-03-2024,1.805,1.923
07-03-2024,1.818,1.952
06-03-2024,1.929,2.072
05-03-2024,1.957,2.095
04-03-2024,1.916,2.073
01-03-2024,1.835,1.975
29-02-2024,1.86,2.008
28-02-2024,1.885,2.052
27-02-2024,1.615,1.808
26-02-2024,1.659,1.744
23-02-2024,1.603,1.699
22-02-2024,1.732,1.832
21-02-2024,1.773,1.863
20-02-2024,1.576,1.646
16-02-2024,1.609,1.68
15-02-2024,1.581,1.647
14-02-2024,1.609,1.665
13-02-2024,1.689,1.742
12-02-2024,1.768,1.8
09-02-2024,1.847,1.885
08-02-2024,1.917,1.948
07-02-2024,1.967,1.98
06-02-2024,2.009,2.007
05-02-2024,2.082,2.074
02-02-2024,2.079,2.086
